,id,genre_ids,original_title,title,release_date,popularity,vote_average,vote_count,budget,revenue,imdb_id,originalTitle,startYear,genres,averageRating,numVotes,Gross Profit
3532,332567,"['Horror', 'Drama', 'Thriller']",The Shallows,The Shallows,2016-06-24,12.213,63.0,3446,17000000.0,119100758.0,tt4052882,The Shallows,2016.0,"Drama,Horror,Thriller",6.3,113000,102100758.0
3533,167073,"['Drama', 'Romance']",Brooklyn,Brooklyn,2015-10-20,15.632,73.0,2135,11000000.0,62076141.0,tt2381111,Brooklyn,2015.0,"Drama,Romance",7.5,122973,51076141.0
3534,312221,['Drama'],Creed,Creed,2015-11-25,14.789000000000001,74.0,4497,37000000.0,173567581.0,tt3076658,Creed,2015.0,"Drama,Sport",7.6,235306,136567581.0
3535,376659,['Comedy'],Bad Moms,Bad Moms,2016-07-28,14.465,65.0,2946,20000000.0,183936074.0,tt4651520,Bad Moms,2016.0,Comedy,6.2,107468,163936074.0
3536,333371,"['Drama', 'Horror', 'Science Fiction', 'Thriller']",10 Cloverfield Lane,10 Cloverfield Lane,2016-03-10,20.305999999999997,69.0,5107,15000000.0,108286421.0,tt1179933,10 Cloverfield Lane,2016.0,"Drama,Horror,Mystery",7.2,274053,93286421.0
3537,274167,['Comedy'],Daddy's Home,Daddy's Home,2015-12-25,12.437000000000001,61.0,1882,50000000.0,242786137.0,tt1528854,Daddy's Home,2015.0,"Comedy,Family",6.2,102231,192786137.0
3538,308266,"['Comedy', 'Crime', 'Drama']",War Dogs,War Dogs,2016-08-17,15.882,68.0,2727,40000000.0,86234523.0,tt2005151,War Dogs,2016.0,"Biography,Comedy,Crime",7.1,164262,46234523.0
3539,261392,"['Action', 'Comedy']",American Ultra,American Ultra,2015-08-19,9.86,60.0,1930,28000000.0,27139524.0,tt3316948,American Ultra,2015.0,"Action,Comedy,Sci-Fi",6.1,79876,-860476.0
3540,369557,"['Comedy', 'Drama', 'Music', 'Romance']",Sing Street,Sing Street,2016-03-11,17.292,80.0,1366,4000000.0,13624522.0,tt3544112,Sing Street,2016.0,"Comedy,Drama,Music",7.9,79283,9624522.0
3541,321697,"['Drama', 'History']",Steve Jobs,Steve Jobs,2015-10-09,10.077,68.0,2848,30000000.0,34441873.0,tt2080374,Steve Jobs,2015.0,"Biography,Drama",7.2,144938,4441873.0
3542,306819,['Drama'],The Danish Girl,The Danish Girl,2015-11-27,15.130999999999998,76.0,4098,15000000.0,64191523.0,tt0810819,The Danish Girl,2015.0,"Biography,Drama,Romance",7.1,154206,49191523.0
3543,296099,['Comedy'],Vacation,Vacation,2015-07-28,9.812999999999999,62.0,2187,31000000.0,104384188.0,tt1524930,Vacation,2015.0,"Adventure,Comedy",6.1,91645,73384188.0
3545,261023,"['Crime', 'Drama']",Black Mass,Black Mass,2015-09-04,13.552,64.0,2221,53000000.0,98837872.0,tt1355683,Black Mass,2015.0,"Biography,Crime,Drama",6.9,160777,45837872.0
3546,345911,"['Drama', 'Horror', 'Mystery', 'Thriller']",Lights Out,Lights Out,2016-07-21,13.009,63.0,2509,4900000.0,148868835.0,tt4786282,Lights Out,2016.0,"Drama,Horror,Mystery",6.3,107128,143968835.0
3547,333348,"['Comedy', 'Drama', 'Family']",Love the Coopers,Love the Coopers,2015-11-12,13.735999999999999,59.0,452,17000000.0,42426912.0,tt2279339,Love the Coopers,2015.0,"Comedy,Fantasy,Romance",5.8,19141,25426912.0
3549,294016,['Drama'],Trumbo,Trumbo,2015-10-27,14.917,72.0,992,15000000.0,8235661.0,tt3203606,Trumbo,2015.0,"Biography,Drama",7.5,71401,-6764339.0
3553,365222,"['Action', 'Drama', 'History']",葉問3,Ip Man 3,2015-12-19,16.382,67.0,783,36000000.0,156844753.0,tt2888046,Yip Man 3,2015.0,"Action,Biography,Drama",7.1,42627,120844753.0
3555,309809,"['Adventure', 'Animation', 'Fantasy', 'Family']",The Little Prince,The Little Prince,2015-07-29,17.065,76.0,1709,64000000.0,97571250.0,tt1754656,Le Petit Prince,2015.0,"Adventure,Animation,Drama",7.7,52727,33571250.0
3556,298312,"['Horror', 'Mystery', 'Thriller']",The Visit,The Visit,2015-09-10,12.253,62.0,2968,5000000.0,98450062.0,tt3567288,The Visit,2015.0,"Horror,Mystery,Thriller",6.2,107000,93450062.0
3557,256961,"['Action', 'Comedy', 'Family']",Paul Blart: Mall Cop 2,Paul Blart: Mall Cop 2,2015-04-16,15.183,50.0,997,38000000.0,107597242.0,tt3450650,Paul Blart: Mall Cop 2,2015.0,"Action,Comedy,Crime",4.4,32387,69597242.0
3559,257091,['Comedy'],Get Hard,Get Hard,2015-03-26,10.862,60.0,1660,40000000.0,111811453.0,tt2561572,Get Hard,2015.0,"Comedy,Crime",6.0,115648,71811453.0
3560,321741,['Drama'],Concussion,Concussion,2015-11-12,10.747,71.0,1634,35000000.0,50363790.0,tt3322364,Concussion,2015.0,"Biography,Drama,Sport",7.1,81330,15363790.0
3561,270487,"['Comedy', 'Drama', 'Mystery']","Hail, Caesar!","Hail, Caesar!",2016-02-05,13.697000000000001,59.0,2592,22000000.0,63647656.0,tt0475290,"Hail, Caesar!",2016.0,"Comedy,Drama,Music",6.3,116337,41647656.0
3562,285783,"['Adventure', 'Drama', 'Thriller']",The Walk,The Walk,2015-09-30,10.692,69.0,2078,35000000.0,61181942.0,tt3488710,The Walk,2015.0,"Adventure,Biography,Drama",7.3,113905,26181942.0
3563,274479,"['Comedy', 'Drama']",Joy,Joy,2015-12-24,11.288,65.0,2969,60000000.0,101134059.0,tt2446980,Joy,2015.0,Drama,6.6,122259,41134059.0
3564,330483,"['Drama', 'Romance']",The Choice,The Choice,2016-02-04,12.534,70.0,1176,10000000.0,18730891.0,tt3797868,The Choice,2016.0,"Drama,Romance",6.6,32228,8730891.0
3565,259693,"['Horror', 'Mystery', 'Thriller']",The Conjuring 2,The Conjuring 2,2016-05-13,16.467,72.0,4744,40000000.0,320170008.0,tt3065204,The Conjuring 2,2016.0,"Horror,Mystery,Thriller",7.3,209405,280170008.0
3566,382322,"['Action', 'Animation', 'Crime', 'Drama']",Batman: The Killing Joke,Batman: The Killing Joke,2016-07-21,13.503,64.0,1009,3500000.0,3775000.0,tt4853102,Batman: The Killing Joke,2016.0,"Action,Animation,Crime",6.4,45890,275000.0
3567,339984,['Drama'],Miracles from Heaven,Miracles from Heaven,2016-03-17,13.249,72.0,583,16000000.0,73983359.0,tt4257926,Miracles from Heaven,2016.0,"Biography,Drama,Family",7.1,18941,57983359.0
3568,228066,"['Drama', 'Science Fiction', 'Thriller']",Victor Frankenstein,Victor Frankenstein,2015-11-10,11.245,58.0,1326,40000000.0,34227298.0,tt1976009,Victor Frankenstein,2015.0,"Drama,Horror,Sci-Fi",6.0,49627,-5772702.0
3569,283445,['Horror'],Sinister 2,Sinister 2,2015-08-19,8.729,58.0,1289,10000000.0,52882018.0,tt2752772,Sinister 2,2015.0,"Horror,Mystery,Thriller",5.3,44889,42882018.0
3576,287948,"['Action', 'Crime', 'Mystery', 'Thriller']",The Transporter Refueled,The Transporter Refueled,2015-09-03,15.675999999999998,55.0,920,25000000.0,72629670.0,tt2938956,The Transporter Refueled,2015.0,"Action,Adventure,Thriller",5.2,37458,47629670.0
3577,146301,"['Horror', 'Thriller']",Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension,2015-10-21,13.658,52.0,861,10000000.0,78096553.0,tt2473510,Paranormal Activity: The Ghost Dimension,2015.0,"Horror,Mystery,Thriller",4.6,23460,68096553.0
3578,335778,"['Drama', 'History']",Risen,Risen,2016-02-18,9.908,59.0,461,20000000.0,46069568.0,tt3231054,Risen,2016.0,"Action,Drama,History",6.3,23543,26069568.0
3579,303857,"['Action', 'Adventure', 'Animation', 'Fantasy']",ドラゴンボールZ 復活の「F」,Dragon Ball Z: Resurrection 'F',2015-04-18,12.655,67.0,748,5000000.0,61768190.0,tt3819668,Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F',2015.0,"Action,Adventure,Animation",7.3,19260,56768190.0
