,tconst,originalTitle,startYear,genres,averageRating,numVotes
30387,tt7007162,Flameworker,2016.0,Documentary,9.4,14
1908,tt10853382,Puritan: All of Life to The Glory of God,2019.0,Documentary,9.4,17
26648,tt6355382,Ephemeral,2017.0,\N,9.4,5
18126,tt5265976,Nuyorican Básquet,2017.0,"Documentary,History,Sport",9.4,45
29052,tt6776622,The Middle of Somewhere,2018.0,Drama,9.4,5
11505,tt4432364,"Paraguay, Droga Y Banana",2016.0,Documentary,9.4,8
21562,tt5727138,50 Yard Dash,2016.0,"Documentary,Sport",9.3,9
13584,tt4701396,Breaking Silence,2017.0,Documentary,9.3,6
35583,tt7981494,Sekharam Gari Abbayi,2017.0,Drama,9.3,11
252,tt10078502,Stars in the Sky: A Hunting Story,2018.0,Documentary,9.3,20
2734,tt11501556,30 de Ani de Democratie,2019.0,Documentary,9.3,111
2756,tt11555166,The Death Story of Sohrab,2017.0,"Drama,History",9.3,23
18146,tt5268678,Unchained,2017.0,Documentary,9.3,6
21767,tt5757954,Tko je taj Anton Marti?,2016.0,"Biography,Documentary",9.3,13
30316,tt6991826,A Dedicated Life: Phoebe Brand Beyond the Group,2015.0,Documentary,9.3,6
17100,tt5140998,Jiu Jitsu vs. the World,2015.0,Documentary,9.3,78
38200,tt8645918,Living in Tents,2018.0,Documentary,9.3,19
15436,tt4949460,The Swaggapuss Story,2015.0,Documentary,9.3,9
9005,tt4007276,Officer Involved,2017.0,Documentary,9.3,82
8503,tt3888834,Lake of Betrayal: The Story of Kinzua Dam,2017.0,Documentary,9.3,6
39817,tt9059838,Repeat Offender,2018.0,Documentary,9.3,20
41970,tt9824512,L'Odyssée du Loup,2019.0,Documentary,9.3,7
12643,tt4584770,Debt of Honor: Disabled Veterans in American History,2015.0,Documentary,9.3,10
30297,tt6987432,Man in Camo,2018.0,"Animation,Biography,Documentary",9.3,54
21125,tt5671368,Children of Peace,2016.0,Documentary,9.3,6
10636,tt4294586,Our Little Haven,2017.0,Drama,9.3,361
35923,tt8059266,There's Always Next Season,2018.0,Documentary,9.3,23
24832,tt6131300,Colis Suspect,2017.0,Documentary,9.3,6
17041,tt5136570,The Luckiest Man: The John Paine Story,2015.0,Documentary,9.3,41
27822,tt6537136,Oswald Mosley: Europeans,2016.0,Documentary,9.3,26
12431,tt4556682,Ameen,2015.0,Drama,9.3,84
42155,tt9905476,Hand Rolled,2019.0,Documentary,9.3,20
18111,tt5264812,Flying Again,2016.0,Documentary,9.3,20
35246,tt7918964,Look to the Sky,2017.0,Documentary,9.3,6
41041,tt9447728,The Little Count,2018.0,"Documentary,History",9.3,33
12408,tt4553130,Tocando la Luz,2015.0,Documentary,9.3,6
392,tt10136034,Shoot the Moon,2019.0,Documentary,9.3,22
21838,tt5768980,Burlesque Extravaganza,2017.0,Documentary,9.3,19
28734,tt6711722,The Quiet Triumph: How Arbitration Changed the World,2017.0,Documentary,9.3,15
12256,tt4531966,Code 9: Officer Needs Assistance,2015.0,Documentary,9.3,41
17938,tt5241950,K9 Guardians,2015.0,Documentary,9.3,6
39814,tt9059120,Live The Stream: The Story of Joe Humphreys,2018.0,"Documentary,Family",9.3,11
32437,tt7381364,Bialy Wilk: Historia komputerowego Wiedzmina,2017.0,Documentary,9.3,29
32794,tt7444748,When I Stutter,2017.0,Documentary,9.3,56
920,tt10378660,The Dark Knight: The Ballad of the N Word,2018.0,"Comedy,Drama",9.3,41
8520,tt3891594,"Down, But Not Out!",2015.0,"Documentary,Sport",9.3,43
29634,tt6867356,One Angry Vegan,2017.0,Documentary,9.3,11
31301,tt7175460,Lies of Omission,2017.0,Documentary,9.3,15
14978,tt4897596,Digbhayam,2019.0,Thriller,9.3,242
2105,tt10965300,Lola Igna,2019.0,Drama,9.3,7
19847,tt5515328,Ash,2019.0,Drama,9.3,97
33120,tt7504492,Scantraxx: 15 Years of Hardstyle,2017.0,Documentary,9.3,34
4536,tt2721960,Hot Water,2015.0,"Documentary,Drama",9.3,6
33780,tt7609118,Het zijn maar Duitsers,2017.0,Documentary,9.3,7
39321,tt8937428,"Belcebú versus Guerrero de Dios, la batalla final y el camino al paraíso",2017.0,Drama,9.3,27
2711,tt11465650,American Gospel: Christ Crucified,2019.0,Documentary,9.3,21
28811,tt6730328,Defending the Fire,2017.0,Documentary,9.3,6
2215,tt11046570,Chai Coffee,2019.0,"Drama,Romance",9.3,7
31337,tt7183056,Roy Orbison: Black and White Night 30,2017.0,"Documentary,Music",9.3,27
2227,tt11053238,Girgit,2018.0,Comedy,9.3,36
7850,tt3761196,I Will Dance,2015.0,"Documentary,Drama",9.3,6
41810,tt9766160,Damayanthi,2019.0,Drama,9.3,1018
9697,tt4126322,The Ataxian,2015.0,"Adventure,Documentary,Drama",9.3,198
34040,tt7657888,Outsiders,2017.0,"Documentary,Sport",9.3,15
33134,tt7507268,As Good as It Gets?,2018.0,Documentary,9.3,65
2078,tt10946280,Afrika na Pionieri,2019.0,\N,9.3,6
19777,tt5506764,Sve je bio dobar san,2016.0,"Biography,Documentary,Drama",9.3,65
